table_schema,table_name,table_comment,column_name,ordinal_position,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,is_nullable,column_default,column_comment,identity_generation
auth,audit_log_entries,Auth: Audit trail for user actions.,instance_id,1,uuid,uuid,,,,,YES,,,
auth,audit_log_entries,Auth: Audit trail for user actions.,id,2,uuid,uuid,,,,,NO,,,
auth,audit_log_entries,Auth: Audit trail for user actions.,payload,3,json,json,,,,,YES,,,
auth,audit_log_entries,Auth: Audit trail for user actions.,created_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,audit_log_entries,Auth: Audit trail for user actions.,ip_address,5,character varying,varchar,64,,,,NO,''::character varying,,
auth,flow_state,stores metadata for pkce logins,id,1,uuid,uuid,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,user_id,2,uuid,uuid,,,,,YES,,,
auth,flow_state,stores metadata for pkce logins,auth_code,3,text,text,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,code_challenge_method,4,USER-DEFINED,code_challenge_method,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,code_challenge,5,text,text,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,provider_type,6,text,text,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,provider_access_token,7,text,text,,,,,YES,,,
auth,flow_state,stores metadata for pkce logins,provider_refresh_token,8,text,text,,,,,YES,,,
auth,flow_state,stores metadata for pkce logins,created_at,9,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,flow_state,stores metadata for pkce logins,updated_at,10,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,flow_state,stores metadata for pkce logins,authentication_method,11,text,text,,,,,NO,,,
auth,flow_state,stores metadata for pkce logins,auth_code_issued_at,12,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,identities,Auth: Stores identities associated to a user.,provider_id,1,text,text,,,,,NO,,,
auth,identities,Auth: Stores identities associated to a user.,user_id,2,uuid,uuid,,,,,NO,,,
auth,identities,Auth: Stores identities associated to a user.,identity_data,3,jsonb,jsonb,,,,,NO,,,
auth,identities,Auth: Stores identities associated to a user.,provider,4,text,text,,,,,NO,,,
auth,identities,Auth: Stores identities associated to a user.,last_sign_in_at,5,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,identities,Auth: Stores identities associated to a user.,created_at,6,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,identities,Auth: Stores identities associated to a user.,updated_at,7,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,identities,Auth: Stores identities associated to a user.,email,8,text,text,,,,,YES,,Auth: Email is a generated column that references the optional email property in the identity_data,
auth,identities,Auth: Stores identities associated to a user.,id,9,uuid,uuid,,,,,NO,gen_random_uuid(),,
auth,instances,Auth: Manages users across multiple sites.,id,1,uuid,uuid,,,,,NO,,,
auth,instances,Auth: Manages users across multiple sites.,uuid,2,uuid,uuid,,,,,YES,,,
auth,instances,Auth: Manages users across multiple sites.,raw_base_config,3,text,text,,,,,YES,,,
auth,instances,Auth: Manages users across multiple sites.,created_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,instances,Auth: Manages users across multiple sites.,updated_at,5,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,mfa_amr_claims,auth: stores authenticator method reference claims for multi factor authentication,session_id,1,uuid,uuid,,,,,NO,,,
auth,mfa_amr_claims,auth: stores authenticator method reference claims for multi factor authentication,created_at,2,timestamp with time zone,timestamptz,,,,6,NO,,,
auth,mfa_amr_claims,auth: stores authenticator method reference claims for multi factor authentication,updated_at,3,timestamp with time zone,timestamptz,,,,6,NO,,,
auth,mfa_amr_claims,auth: stores authenticator method reference claims for multi factor authentication,authentication_method,4,text,text,,,,,NO,,,
auth,mfa_amr_claims,auth: stores authenticator method reference claims for multi factor authentication,id,5,uuid,uuid,,,,,NO,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,id,1,uuid,uuid,,,,,NO,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,factor_id,2,uuid,uuid,,,,,NO,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,created_at,3,timestamp with time zone,timestamptz,,,,6,NO,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,verified_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,ip_address,5,inet,inet,,,,,NO,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,otp_code,6,text,text,,,,,YES,,,
auth,mfa_challenges,auth: stores metadata about challenge requests made,web_authn_session_data,7,jsonb,jsonb,,,,,YES,,,
auth,mfa_factors,auth: stores metadata about factors,id,1,uuid,uuid,,,,,NO,,,
auth,mfa_factors,auth: stores metadata about factors,user_id,2,uuid,uuid,,,,,NO,,,
auth,mfa_factors,auth: stores metadata about factors,friendly_name,3,text,text,,,,,YES,,,
auth,mfa_factors,auth: stores metadata about factors,factor_type,4,USER-DEFINED,factor_type,,,,,NO,,,
auth,mfa_factors,auth: stores metadata about factors,status,5,USER-DEFINED,factor_status,,,,,NO,,,
auth,mfa_factors,auth: stores metadata about factors,created_at,6,timestamp with time zone,timestamptz,,,,6,NO,,,
auth,mfa_factors,auth: stores metadata about factors,updated_at,7,timestamp with time zone,timestamptz,,,,6,NO,,,
auth,mfa_factors,auth: stores metadata about factors,secret,8,text,text,,,,,YES,,,
auth,mfa_factors,auth: stores metadata about factors,phone,9,text,text,,,,,YES,,,
auth,mfa_factors,auth: stores metadata about factors,last_challenged_at,10,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,mfa_factors,auth: stores metadata about factors,web_authn_credential,11,jsonb,jsonb,,,,,YES,,,
auth,mfa_factors,auth: stores metadata about factors,web_authn_aaguid,12,uuid,uuid,,,,,YES,,,
auth,oauth_clients,,id,1,uuid,uuid,,,,,NO,,,
auth,oauth_clients,,client_id,2,text,text,,,,,NO,,,
auth,oauth_clients,,client_secret_hash,3,text,text,,,,,NO,,,
auth,oauth_clients,,registration_type,4,USER-DEFINED,oauth_registration_type,,,,,NO,,,
auth,oauth_clients,,redirect_uris,5,text,text,,,,,NO,,,
auth,oauth_clients,,grant_types,6,text,text,,,,,NO,,,
auth,oauth_clients,,client_name,7,text,text,,,,,YES,,,
auth,oauth_clients,,client_uri,8,text,text,,,,,YES,,,
auth,oauth_clients,,logo_uri,9,text,text,,,,,YES,,,
auth,oauth_clients,,created_at,10,timestamp with time zone,timestamptz,,,,6,NO,now(),,
auth,oauth_clients,,updated_at,11,timestamp with time zone,timestamptz,,,,6,NO,now(),,
auth,oauth_clients,,deleted_at,12,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,one_time_tokens,,id,1,uuid,uuid,,,,,NO,,,
auth,one_time_tokens,,user_id,2,uuid,uuid,,,,,NO,,,
auth,one_time_tokens,,token_type,3,USER-DEFINED,one_time_token_type,,,,,NO,,,
auth,one_time_tokens,,token_hash,4,text,text,,,,,NO,,,
auth,one_time_tokens,,relates_to,5,text,text,,,,,NO,,,
auth,one_time_tokens,,created_at,6,timestamp without time zone,timestamp,,,,6,NO,now(),,
auth,one_time_tokens,,updated_at,7,timestamp without time zone,timestamp,,,,6,NO,now(),,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,instance_id,1,uuid,uuid,,,,,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,id,2,bigint,int8,,64,0,,NO,nextval('auth.refresh_tokens_id_seq'::regclass),,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,token,3,character varying,varchar,255,,,,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,user_id,4,character varying,varchar,255,,,,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,revoked,5,boolean,bool,,,,,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,created_at,6,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,updated_at,7,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,parent,8,character varying,varchar,255,,,,YES,,,
auth,refresh_tokens,Auth: Store of tokens used to refresh JWT tokens once they expire.,session_id,9,uuid,uuid,,,,,YES,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,id,1,uuid,uuid,,,,,NO,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,sso_provider_id,2,uuid,uuid,,,,,NO,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,entity_id,3,text,text,,,,,NO,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,metadata_xml,4,text,text,,,,,NO,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,metadata_url,5,text,text,,,,,YES,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,attribute_mapping,6,jsonb,jsonb,,,,,YES,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,created_at,7,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,updated_at,8,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,saml_providers,Auth: Manages SAML Identity Provider connections.,name_id_format,9,text,text,,,,,YES,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,id,1,uuid,uuid,,,,,NO,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,sso_provider_id,2,uuid,uuid,,,,,NO,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,request_id,3,text,text,,,,,NO,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,for_email,4,text,text,,,,,YES,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,redirect_to,5,text,text,,,,,YES,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,created_at,7,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,updated_at,8,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,saml_relay_states,Auth: Contains SAML Relay State information for each Service Provider initiated login.,flow_state_id,9,uuid,uuid,,,,,YES,,,
auth,schema_migrations,Auth: Manages updates to the auth system.,version,1,character varying,varchar,255,,,,NO,,,
auth,schema_migrations,Auth: Manages updates to the auth system.,version,1,character varying,varchar,255,,,,NO,,,
auth,schema_migrations,Auth: Manages updates to the auth system.,version,1,character varying,varchar,255,,,,NO,,,
auth,sessions,Auth: Stores session data associated to a user.,id,1,uuid,uuid,,,,,NO,,,
auth,sessions,Auth: Stores session data associated to a user.,user_id,2,uuid,uuid,,,,,NO,,,
auth,sessions,Auth: Stores session data associated to a user.,created_at,3,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,updated_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,factor_id,5,uuid,uuid,,,,,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,aal,6,USER-DEFINED,aal_level,,,,,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,not_after,7,timestamp with time zone,timestamptz,,,,6,YES,,Auth: Not after is a nullable column that contains a timestamp after which the session should be regarded as expired.,
auth,sessions,Auth: Stores session data associated to a user.,refreshed_at,8,timestamp without time zone,timestamp,,,,6,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,user_agent,9,text,text,,,,,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,ip,10,inet,inet,,,,,YES,,,
auth,sessions,Auth: Stores session data associated to a user.,tag,11,text,text,,,,,YES,,,
auth,sso_domains,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.,id,1,uuid,uuid,,,,,NO,,,
auth,sso_domains,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.,sso_provider_id,2,uuid,uuid,,,,,NO,,,
auth,sso_domains,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.,domain,3,text,text,,,,,NO,,,
auth,sso_domains,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.,created_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sso_domains,Auth: Manages SSO email address domain mapping to an SSO Identity Provider.,updated_at,5,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sso_providers,Auth: Manages SSO identity provider information; see saml_providers for SAML.,id,1,uuid,uuid,,,,,NO,,,
auth,sso_providers,Auth: Manages SSO identity provider information; see saml_providers for SAML.,resource_id,2,text,text,,,,,YES,,"Auth: Uniquely identifies a SSO provider according to a user-chosen resource ID (case insensitive), useful in infrastructure as code.",
auth,sso_providers,Auth: Manages SSO identity provider information; see saml_providers for SAML.,created_at,3,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sso_providers,Auth: Manages SSO identity provider information; see saml_providers for SAML.,updated_at,4,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,sso_providers,Auth: Manages SSO identity provider information; see saml_providers for SAML.,disabled,5,boolean,bool,,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,instance_id,1,uuid,uuid,,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,id,2,uuid,uuid,,,,,NO,,,
auth,users,Auth: Stores user login data within a secure schema.,aud,3,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,role,4,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email,5,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,encrypted_password,6,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email_confirmed_at,7,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,invited_at,8,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,confirmation_token,9,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,confirmation_sent_at,10,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,recovery_token,11,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,recovery_sent_at,12,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email_change_token_new,13,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email_change,14,character varying,varchar,255,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email_change_sent_at,15,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,last_sign_in_at,16,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,raw_app_meta_data,17,jsonb,jsonb,,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,raw_user_meta_data,18,jsonb,jsonb,,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,is_super_admin,19,boolean,bool,,,,,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,created_at,20,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,updated_at,21,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,phone,22,text,text,,,,,YES,NULL::character varying,,
auth,users,Auth: Stores user login data within a secure schema.,phone_confirmed_at,23,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,phone_change,24,text,text,,,,,YES,''::character varying,,
auth,users,Auth: Stores user login data within a secure schema.,phone_change_token,25,character varying,varchar,255,,,,YES,''::character varying,,
auth,users,Auth: Stores user login data within a secure schema.,phone_change_sent_at,26,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,confirmed_at,27,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,email_change_token_current,28,character varying,varchar,255,,,,YES,''::character varying,,
auth,users,Auth: Stores user login data within a secure schema.,email_change_confirm_status,29,smallint,int2,,16,0,,YES,0,,
auth,users,Auth: Stores user login data within a secure schema.,banned_until,30,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,reauthentication_token,31,character varying,varchar,255,,,,YES,''::character varying,,
auth,users,Auth: Stores user login data within a secure schema.,reauthentication_sent_at,32,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,is_sso_user,33,boolean,bool,,,,,NO,false,Auth: Set this column to true when the account comes from SSO. These accounts can have duplicate emails.,
auth,users,Auth: Stores user login data within a secure schema.,deleted_at,34,timestamp with time zone,timestamptz,,,,6,YES,,,
auth,users,Auth: Stores user login data within a secure schema.,is_anonymous,35,boolean,bool,,,,,NO,false,,
public,agreements,,id,1,uuid,uuid,,,,,NO,gen_random_uuid(),,
public,agreements,,request_id,2,uuid,uuid,,,,,NO,,,
public,agreements,,professional_id,3,uuid,uuid,,,,,NO,,,
public,agreements,,amount,4,numeric,numeric,,,,,YES,,,
public,agreements,,status,5,text,text,,,,,YES,'negotiating'::text,,
public,agreements,,created_at,6,timestamp with time zone,timestamptz,,,,6,YES,now(),,
public,agreements,,updated_at,7,timestamp with time zone,timestamptz,,,,6,YES,now(),,
public,applications,,id,1,uuid,uuid,,,,,NO,gen_random_uuid(),,
public,applications,,request_id,2,uuid,uuid,,,,,YES,,,
public,applications,,professional_id,3,uuid,uuid,,,,,YES,,,
public,applications,,cover_letter,4,text,text,,,,,YES,,,
public,applications,,proposed_budget,5,numeric,numeric,,12,2,,YES,,,
public,applications,,status,6,text,text,,,,,NO,'pending'::text,,
public,applications,,created_at,7,timestamp with time zone,timestamptz,,,,6,YES,now(),,
public,applications,,updated_at,8,timestamp with time zone,timestamptz,,,,6,NO,now(),,
public,categories_subcategories,,Categoría,1,text,text,,,,,NO,,,
public,categories_subcategories,,Subcategoría,2,text,text,,,,,NO,,,
public,categories_subcategories,,Descripción,3,text,text,,,,,YES,,,
public,categories_subcategories,,Activa,4,text,text,,,,,YES,,,
public,categories_subcategories,,Ícono,5,text,text,,,,,YES,,,
public,categories_subcategories,,Tipo de servicio,6,text,text,,,,,YES,,,
public,categories_subcategories,,Nivel de especialización,7,text,text,,,,,YES,,,
public,conversations,,id,1,uuid,uuid,,,,,NO,gen_random_uuid(),,
public,conversations,,request_id,2,uuid,uuid,,,,,NO,,,
public,conversations,,customer_id,3,uuid,uuid,,,,,NO,,,
public,conversations,,pro_id,4,uuid,uuid,,,,,NO,,,
public,conversations,,last_message_at,5,timestamp with time zone,timestamptz,,,,6,YES,now(),,
