table_schema,table_name,constraint_name,key_type,column_list,definition,index_name,is_deferrable,initially_deferred
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY,id,PRIMARY KEY (id),audit_log_entries_pkey,f,f
auth,flow_state,flow_state_pkey,PRIMARY KEY,id,PRIMARY KEY (id),flow_state_pkey,f,f
auth,identities,identities_pkey,PRIMARY KEY,id,PRIMARY KEY (id),identities_pkey,f,f
auth,identities,identities_provider_id_provider_unique,UNIQUE,"provider_id, provider","UNIQUE (provider_id, provider)",identities_provider_id_provider_unique,f,f
auth,instances,instances_pkey,PRIMARY KEY,id,PRIMARY KEY (id),instances_pkey,f,f
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY,id,PRIMARY KEY (id),amr_id_pk,f,f
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE,"session_id, authentication_method","UNIQUE (session_id, authentication_method)",mfa_amr_claims_session_id_authentication_method_pkey,f,f
auth,mfa_challenges,mfa_challenges_pkey,PRIMARY KEY,id,PRIMARY KEY (id),mfa_challenges_pkey,f,f
auth,mfa_factors,mfa_factors_pkey,PRIMARY KEY,id,PRIMARY KEY (id),mfa_factors_pkey,f,f
auth,mfa_factors,mfa_factors_last_challenged_at_key,UNIQUE,last_challenged_at,UNIQUE (last_challenged_at),mfa_factors_last_challenged_at_key,f,f
auth,mfa_factors,,UNIQUE INDEX,"user_id, phone","CREATE UNIQUE INDEX unique_phone_factor_per_user ON auth.mfa_factors USING btree (user_id, phone)",unique_phone_factor_per_user,,
auth,mfa_factors,,UNIQUE INDEX,"friendly_name, user_id","CREATE UNIQUE INDEX mfa_factors_user_friendly_name_unique ON auth.mfa_factors USING btree (friendly_name, user_id) WHERE (TRIM(BOTH FROM friendly_name) <> ''::text)",mfa_factors_user_friendly_name_unique,,
auth,oauth_clients,oauth_clients_pkey,PRIMARY KEY,id,PRIMARY KEY (id),oauth_clients_pkey,f,f
auth,oauth_clients,oauth_clients_client_id_key,UNIQUE,client_id,UNIQUE (client_id),oauth_clients_client_id_key,f,f
auth,one_time_tokens,one_time_tokens_pkey,PRIMARY KEY,id,PRIMARY KEY (id),one_time_tokens_pkey,f,f
auth,one_time_tokens,,UNIQUE INDEX,"user_id, token_type","CREATE UNIQUE INDEX one_time_tokens_user_id_token_type_key ON auth.one_time_tokens USING btree (user_id, token_type)",one_time_tokens_user_id_token_type_key,,
auth,refresh_tokens,refresh_tokens_pkey,PRIMARY KEY,id,PRIMARY KEY (id),refresh_tokens_pkey,f,f
auth,refresh_tokens,refresh_tokens_token_unique,UNIQUE,token,UNIQUE (token),refresh_tokens_token_unique,f,f
auth,saml_providers,saml_providers_pkey,PRIMARY KEY,id,PRIMARY KEY (id),saml_providers_pkey,f,f
auth,saml_providers,saml_providers_entity_id_key,UNIQUE,entity_id,UNIQUE (entity_id),saml_providers_entity_id_key,f,f
auth,saml_relay_states,saml_relay_states_pkey,PRIMARY KEY,id,PRIMARY KEY (id),saml_relay_states_pkey,f,f
auth,schema_migrations,schema_migrations_pkey,PRIMARY KEY,version,PRIMARY KEY (version),schema_migrations_pkey,f,f
auth,sessions,sessions_pkey,PRIMARY KEY,id,PRIMARY KEY (id),sessions_pkey,f,f
auth,sso_domains,sso_domains_pkey,PRIMARY KEY,id,PRIMARY KEY (id),sso_domains_pkey,f,f
auth,sso_domains,,UNIQUE INDEX,,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain)),sso_domains_domain_idx,,
auth,sso_providers,sso_providers_pkey,PRIMARY KEY,id,PRIMARY KEY (id),sso_providers_pkey,f,f
