column_name,usage_count,table_count,tables
id,34,34,"auth.audit_log_entries, auth.flow_state, auth.identities, auth.instances, auth.mfa_amr_claims, auth.mfa_challenges, auth.mfa_factors, auth.oauth_clients, auth.one_time_tokens, auth.refresh_tokens, auth.saml_providers, auth.saml_relay_states, auth.sessions, auth.sso_domains, auth.sso_providers, auth.users, public.agreements, public.applications, public.conversations, public.messages, public.offers, public.pro_applications, public.professionals, public.profiles, public.ratings, public.requests, public.service_photos, public.user_notifications, storage.buckets, storage.buckets_analytics, storage.migrations, storage.objects, storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
created_at,33,33,"auth.audit_log_entries, auth.flow_state, auth.identities, auth.instances, auth.mfa_amr_claims, auth.mfa_challenges, auth.mfa_factors, auth.oauth_clients, auth.one_time_tokens, auth.refresh_tokens, auth.saml_providers, auth.saml_relay_states, auth.sessions, auth.sso_domains, auth.sso_providers, auth.users, public.agreements, public.applications, public.conversations, public.messages, public.offers, public.pro_applications, public.professionals, public.profiles, public.ratings, public.requests, public.user_notifications, storage.buckets, storage.buckets_analytics, storage.objects, storage.prefixes, storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
updated_at,25,25,"auth.flow_state, auth.identities, auth.instances, auth.mfa_amr_claims, auth.mfa_factors, auth.oauth_clients, auth.one_time_tokens, auth.refresh_tokens, auth.saml_providers, auth.saml_relay_states, auth.sessions, auth.sso_domains, auth.sso_providers, auth.users, public.agreements, public.applications, public.offers, public.pro_applications, public.professionals, public.profiles, public.requests, storage.buckets, storage.buckets_analytics, storage.objects, storage.prefixes"
user_id,8,8,"auth.flow_state, auth.identities, auth.mfa_factors, auth.one_time_tokens, auth.refresh_tokens, auth.sessions, public.pro_applications, public.user_notifications"
request_id,7,7,"auth.saml_relay_states, public.agreements, public.applications, public.conversations, public.messages, public.ratings, public.service_photos"
status,6,6,"auth.mfa_factors, public.agreements, public.applications, public.offers, public.pro_applications, public.requests"
name,5,5,"public.profiles, storage.buckets, storage.migrations, storage.objects, storage.prefixes"
bucket_id,4,4,"storage.objects, storage.prefixes, storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
email,4,4,"auth.identities, auth.users, public.pro_applications, public.profiles"
owner_id,4,4,"storage.buckets, storage.objects, storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
professional_id,4,4,"public.agreements, public.applications, public.offers, public.service_photos"
version,4,4,"auth.schema_migrations, storage.objects, storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
categories,3,3,"public.pro_applications, public.professionals, public.profiles"
cities,3,3,"public.pro_applications, public.professionals, public.profiles"
city,3,3,"public.professionals, public.profiles, public.requests"
full_name,3,3,"public.pro_applications, public.professionals, public.profiles"
instance_id,3,3,"auth.audit_log_entries, auth.refresh_tokens, auth.users"
phone,3,3,"auth.mfa_factors, auth.users, public.pro_applications"
sso_provider_id,3,3,"auth.saml_providers, auth.saml_relay_states, auth.sso_domains"
subcategories,3,3,"public.professionals, public.profiles, public.requests"
title,3,3,"public.offers, public.requests, public.user_notifications"
type,3,3,"public.user_notifications, storage.buckets, storage.buckets_analytics"
years_experience,3,3,"public.pro_applications, public.professionals, public.profiles"
active,2,2,"public.professionals, public.profiles"
amount,2,2,"public.agreements, public.offers"
authentication_method,2,2,"auth.flow_state, auth.mfa_amr_claims"
avatar_url,2,2,"public.professionals, public.profiles"
bio,2,2,"public.professionals, public.profiles"
body,2,2,"public.messages, public.user_notifications"
client_id,2,2,"auth.oauth_clients, public.offers"
conversation_id,2,2,"public.messages, public.offers"
created_by,2,2,"public.offers, public.requests"
deleted_at,2,2,"auth.oauth_clients, auth.users"
description,2,2,"public.offers, public.requests"
empresa,2,2,"public.pro_applications, public.professionals"
factor_id,2,2,"auth.mfa_challenges, auth.sessions"
headline,2,2,"public.professionals, public.profiles"
ip_address,2,2,"auth.audit_log_entries, auth.mfa_challenges"
is_featured,2,2,"public.professionals, public.profiles"
key,2,2,"storage.s3_multipart_uploads, storage.s3_multipart_uploads_parts"
last_active_at,2,2,"public.professionals, public.profiles"
last_sign_in_at,2,2,"auth.identities, auth.users"
level,2,2,"storage.objects, storage.prefixes"
metadata,2,2,"public.offers, storage.objects"
owner,2,2,"storage.buckets, storage.objects"
payload,2,2,"auth.audit_log_entries, public.messages"
rating,2,2,"public.professionals, public.profiles"
role,2,2,"auth.users, public.profiles"
session_id,2,2,"auth.mfa_amr_claims, auth.refresh_tokens"
user_metadata,2,2,"storage.objects, storage.s3_multipart_uploads"
