table_schema,table_name,column_name,data_type,udt_name,is_nullable,column_default,is_pk,is_unique,is_fk,indexes
auth,audit_log_entries,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,audit_log_entries,ip_address,character varying,varchar,NO,''::character varying,f,f,f,
auth,audit_log_entries,payload,json,json,YES,,f,f,f,
auth,flow_state,auth_code_issued_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,flow_state,code_challenge,text,text,NO,,f,f,f,
auth,flow_state,code_challenge_method,USER-DEFINED,code_challenge_method,NO,,f,f,f,
auth,flow_state,provider_access_token,text,text,YES,,f,f,f,
auth,flow_state,provider_refresh_token,text,text,YES,,f,f,f,
auth,flow_state,provider_type,text,text,NO,,f,f,f,
auth,flow_state,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,identities,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,identities,identity_data,jsonb,jsonb,NO,,f,f,f,
auth,identities,last_sign_in_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,identities,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,instances,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,instances,raw_base_config,text,text,YES,,f,f,f,
auth,instances,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,instances,uuid,uuid,uuid,YES,,f,f,f,
auth,mfa_amr_claims,created_at,timestamp with time zone,timestamptz,NO,,f,f,f,
auth,mfa_amr_claims,updated_at,timestamp with time zone,timestamptz,NO,,f,f,f,
auth,mfa_challenges,ip_address,inet,inet,NO,,f,f,f,
auth,mfa_challenges,otp_code,text,text,YES,,f,f,f,
auth,mfa_challenges,verified_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,mfa_challenges,web_authn_session_data,jsonb,jsonb,YES,,f,f,f,
auth,mfa_factors,factor_type,USER-DEFINED,factor_type,NO,,f,f,f,
auth,mfa_factors,secret,text,text,YES,,f,f,f,
auth,mfa_factors,status,USER-DEFINED,factor_status,NO,,f,f,f,
auth,mfa_factors,updated_at,timestamp with time zone,timestamptz,NO,,f,f,f,
auth,mfa_factors,web_authn_aaguid,uuid,uuid,YES,,f,f,f,
auth,mfa_factors,web_authn_credential,jsonb,jsonb,YES,,f,f,f,
auth,oauth_clients,client_name,text,text,YES,,f,f,f,
auth,oauth_clients,client_secret_hash,text,text,NO,,f,f,f,
auth,oauth_clients,client_uri,text,text,YES,,f,f,f,
auth,oauth_clients,created_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
auth,oauth_clients,grant_types,text,text,NO,,f,f,f,
auth,oauth_clients,logo_uri,text,text,YES,,f,f,f,
auth,oauth_clients,redirect_uris,text,text,NO,,f,f,f,
auth,oauth_clients,registration_type,USER-DEFINED,oauth_registration_type,NO,,f,f,f,
auth,oauth_clients,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
auth,one_time_tokens,created_at,timestamp without time zone,timestamp,NO,now(),f,f,f,
auth,one_time_tokens,updated_at,timestamp without time zone,timestamp,NO,now(),f,f,f,
auth,refresh_tokens,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,saml_providers,attribute_mapping,jsonb,jsonb,YES,,f,f,f,
auth,saml_providers,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,saml_providers,metadata_url,text,text,YES,,f,f,f,
auth,saml_providers,metadata_xml,text,text,NO,,f,f,f,
auth,saml_providers,name_id_format,text,text,YES,,f,f,f,
auth,saml_providers,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,saml_relay_states,redirect_to,text,text,YES,,f,f,f,
auth,saml_relay_states,request_id,text,text,NO,,f,f,f,
auth,saml_relay_states,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,sessions,aal,USER-DEFINED,aal_level,YES,,f,f,f,
auth,sessions,factor_id,uuid,uuid,YES,,f,f,f,
auth,sessions,ip,inet,inet,YES,,f,f,f,
auth,sessions,refreshed_at,timestamp without time zone,timestamp,YES,,f,f,f,
auth,sessions,tag,text,text,YES,,f,f,f,
auth,sessions,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,sessions,user_agent,text,text,YES,,f,f,f,
auth,sso_domains,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,sso_domains,domain,text,text,NO,,f,f,f,
auth,sso_domains,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,sso_providers,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,sso_providers,disabled,boolean,bool,YES,,f,f,f,
auth,sso_providers,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,aud,character varying,varchar,YES,,f,f,f,
auth,users,banned_until,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,confirmation_sent_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,confirmed_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,created_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,deleted_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,email_change,character varying,varchar,YES,,f,f,f,
auth,users,email_change_confirm_status,smallint,int2,YES,0,f,f,f,
auth,users,email_change_sent_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,email_confirmed_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,encrypted_password,character varying,varchar,YES,,f,f,f,
auth,users,invited_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,is_sso_user,boolean,bool,NO,false,f,f,f,
auth,users,is_super_admin,boolean,bool,YES,,f,f,f,
auth,users,last_sign_in_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,phone_change,text,text,YES,''::character varying,f,f,f,
auth,users,phone_change_sent_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,phone_change_token,character varying,varchar,YES,''::character varying,f,f,f,
auth,users,phone_confirmed_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,raw_app_meta_data,jsonb,jsonb,YES,,f,f,f,
auth,users,raw_user_meta_data,jsonb,jsonb,YES,,f,f,f,
auth,users,reauthentication_sent_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,recovery_sent_at,timestamp with time zone,timestamptz,YES,,f,f,f,
auth,users,role,character varying,varchar,YES,,f,f,f,
auth,users,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
public,agreements,amount,numeric,numeric,YES,,f,f,f,
public,agreements,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,agreements,status,text,text,YES,'negotiating'::text,f,f,f,
public,agreements,updated_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,applications,cover_letter,text,text,YES,,f,f,f,
public,applications,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,applications,proposed_budget,numeric,numeric,YES,,f,f,f,
public,applications,status,text,text,NO,'pending'::text,f,f,f,
public,applications,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
public,categories_subcategories,Activa,text,text,YES,,f,f,f,
public,categories_subcategories,Categoría,text,text,NO,,f,f,f,
public,categories_subcategories,Descripción,text,text,YES,,f,f,f,
public,categories_subcategories,Nivel de especialización,text,text,YES,,f,f,f,
public,categories_subcategories,Tipo de servicio,text,text,YES,,f,f,f,
public,categories_subcategories,Ícono,text,text,YES,,f,f,f,
public,conversations,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,messages,body,text,text,YES,,f,f,f,
public,messages,message_type,text,text,NO,'text'::text,f,f,f,
public,messages,payload,jsonb,jsonb,NO,'{}'::jsonb,f,f,f,
public,messages,read_by,jsonb,jsonb,NO,'[]'::jsonb,f,f,f,
public,messages,recipient_id,uuid,uuid,YES,,f,f,f,
public,messages,request_id,uuid,uuid,YES,,f,f,f,
public,messages,text,text,text,YES,,f,f,f,
public,offers,amount,numeric,numeric,NO,,f,f,f,
public,offers,checkout_url,text,text,YES,,f,f,f,
public,offers,currency,text,text,NO,'MXN'::text,f,f,f,
public,offers,description,text,text,YES,,f,f,f,
public,offers,metadata,jsonb,jsonb,NO,'{}'::jsonb,f,f,f,
public,offers,payment_intent_id,text,text,YES,,f,f,f,
public,offers,reject_reason,text,text,YES,,f,f,f,
public,offers,service_date,timestamp with time zone,timestamptz,YES,,f,f,f,
public,offers,title,text,text,NO,,f,f,f,
public,offers,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
public,pro_applications,categories,jsonb,jsonb,NO,,f,f,f,
public,pro_applications,cities,jsonb,jsonb,NO,,f,f,f,
public,pro_applications,email,text,text,NO,,f,f,f,
public,pro_applications,full_name,text,text,NO,,f,f,f,
public,pro_applications,phone,text,text,NO,,f,f,f,
public,pro_applications,refs,jsonb,jsonb,NO,,f,f,f,
public,pro_applications,services_desc,text,text,NO,,f,f,f,
public,pro_applications,updated_at,timestamp with time zone,timestamptz,YES,,f,f,f,
public,pro_applications,uploads,jsonb,jsonb,NO,,f,f,f,
public,pro_applications,years_experience,integer,int4,NO,,f,f,f,
public,professionals,active,boolean,bool,YES,true,f,f,f,
public,professionals,avatar_url,text,text,YES,,f,f,f,
public,professionals,bio,text,text,YES,,f,f,f,
public,professionals,categories,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,professionals,cities,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,professionals,city,text,text,YES,,f,f,f,
public,professionals,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,professionals,full_name,text,text,YES,,f,f,f,
public,professionals,headline,text,text,YES,,f,f,f,
public,professionals,skills,ARRAY,_text,NO,'{}'::text[],f,f,f,
public,professionals,subcategories,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,professionals,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
public,professionals,years_experience,integer,int4,YES,,f,f,f,
public,profiles,active,boolean,bool,YES,true,f,f,f,
public,profiles,avatar_url,text,text,YES,,f,f,f,
public,profiles,bio,text,text,YES,,f,f,f,
public,profiles,categories,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,profiles,cities,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,profiles,city,text,text,YES,,f,f,f,
public,profiles,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,profiles,full_name,text,text,YES,,f,f,f,
public,profiles,headline,text,text,YES,,f,f,f,
public,profiles,name,text,text,YES,,f,f,f,
public,profiles,role,text,text,YES,,f,f,f,
public,profiles,subcategories,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,profiles,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
public,profiles,years_experience,integer,int4,YES,,f,f,f,
public,ratings,comment,text,text,YES,,f,f,f,
public,ratings,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,ratings,stars,integer,int4,NO,,f,f,f,
public,requests,attachments,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,requests,budget,numeric,numeric,YES,,f,f,f,
public,requests,description,text,text,YES,,f,f,f,
public,requests,required_at,timestamp with time zone,timestamptz,YES,,f,f,f,
public,requests,subcategories,jsonb,jsonb,YES,'[]'::jsonb,f,f,f,
public,requests,subcategory,text,text,YES,,f,f,f,
public,requests,title,text,text,NO,,f,f,f,
public,requests,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
public,service_photos,image_url,text,text,NO,,f,f,f,
public,service_photos,uploaded_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
public,user_notifications,body,text,text,YES,,f,f,f,
public,user_notifications,link,text,text,YES,,f,f,f,
public,user_notifications,title,text,text,NO,,f,f,f,
public,user_notifications,type,text,text,NO,,f,f,f,
storage,buckets,allowed_mime_types,ARRAY,_text,YES,,f,f,f,
storage,buckets,avif_autodetection,boolean,bool,YES,false,f,f,f,
storage,buckets,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,buckets,file_size_limit,bigint,int8,YES,,f,f,f,
storage,buckets,owner,uuid,uuid,YES,,f,f,f,
storage,buckets,owner_id,text,text,YES,,f,f,f,
storage,buckets,public,boolean,bool,YES,false,f,f,f,
storage,buckets,type,USER-DEFINED,buckettype,NO,'STANDARD'::storage.buckettype,f,f,f,
storage,buckets,updated_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,buckets_analytics,created_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
storage,buckets_analytics,format,text,text,NO,'ICEBERG'::text,f,f,f,
storage,buckets_analytics,type,USER-DEFINED,buckettype,NO,'ANALYTICS'::storage.buckettype,f,f,f,
storage,buckets_analytics,updated_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
storage,migrations,executed_at,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,f,f,f,
storage,migrations,hash,character varying,varchar,NO,,f,f,f,
storage,objects,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,objects,last_accessed_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,objects,metadata,jsonb,jsonb,YES,,f,f,f,
storage,objects,owner,uuid,uuid,YES,,f,f,f,
storage,objects,owner_id,text,text,YES,,f,f,f,
storage,objects,path_tokens,ARRAY,_text,YES,,f,f,f,
storage,objects,updated_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,objects,user_metadata,jsonb,jsonb,YES,,f,f,f,
storage,objects,version,text,text,YES,,f,f,f,
storage,prefixes,created_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,prefixes,updated_at,timestamp with time zone,timestamptz,YES,now(),f,f,f,
storage,s3_multipart_uploads,in_progress_size,bigint,int8,NO,0,f,f,f,
storage,s3_multipart_uploads,owner_id,text,text,YES,,f,f,f,
storage,s3_multipart_uploads,upload_signature,text,text,NO,,f,f,f,
storage,s3_multipart_uploads,user_metadata,jsonb,jsonb,YES,,f,f,f,
storage,s3_multipart_uploads,version,text,text,NO,,f,f,f,
storage,s3_multipart_uploads_parts,created_at,timestamp with time zone,timestamptz,NO,now(),f,f,f,
